POWER RANK,Member,POWER RANK VALUE,PPG,PPG Rank,Wins,Win Rank,Overall Wins,Overall Win Rank,Recent Wins,Recent Wins Rank,Consistency Rating,Consistency Rank,ROS Roster Rank
1,TATEZ,2.58,229.5,3,1,1,9,3,0,1,0,1,3
2,vivekcalambur,2.84,251,1,1,1,11,1,0,1,0,1,8
3,arjitj2,3.63,227.5,4,1,1,8,4,0,1,0,1,5
4,akhilalapaty787,3.89,231,2,1,1,10,2,0,1,0,1,10
4,umangchavan,3.89,220,5,1,1,6,5,0,1,0,1,4
6,anandg,4.63,220,5,0,7,6,5,0,1,0,1,2
7,vishaalg,6.26,212.5,7,1,1,5,7,0,1,0,1,9
8,BrotherEzekiel,6.47,198.5,9,0,7,3,9,0,1,0,1,1
9,madhs24,7.53,202,8,0,7,4,8,0,1,0,1,7
10,jeesh,8.32,189.5,10,0,7,2,10,0,1,0,1,6
11,surajsinha,10.42,179.5,11,0,7,1,11,0,1,0,1,12
12,vvpitta,10.68,167,12,0,7,0,12,0,1,0,1,11
