POWER RANK,Member,POWER RANK VALUE,PPG,PPG Rank,Wins,Win Rank,Overall Wins,Overall Win Rank,Recent Wins,Recent Wins Rank,Consistency Rating,Consistency Rank,ROS Roster Rank
7,TATEZ,3.1,227.5416667,3,5,8,86,4,3,4,0.150836752,11,8
5,anandg,2.75,214.0833333,8,7,5,71,7,3,4,0.089849064,3,5
8,jeesh,3.41,195.9583333,10,5,8,51,9,4,3,0.109690002,7,3
3,arjitj2,2.17,222.9583333,5,8,3,83,5,2,7,0.061142718,1,4
9,madhs24,3.76,214.3333333,7,5,8,67,8,2,7,0.122779235,9,6
1,BrotherEzekiel,0.53,236.5416667,1,9,1,100,1,5,1,0.08590739,2,1
10,vishaalg,4.26,197.5416667,9,6,7,45,10,2,7,0.137328134,10,10
3,vivekcalambur,2.17,217.375,6,8,3,74,6,5,1,0.10215895,4,7
6,akhilalapaty787,2.96,225.625,4,7,5,89,3,1,10,0.102863881,5,9
2,umangchavan,1.11,229.5833333,2,9,1,96,2,3,4,0.107745814,6,2
11,vvpitta,5.53,185.8333333,11,1,11,29,11,0,11,0.117399443,8,12
12,jeeviewonder,5.71,146.0416667,12,1,11,4,12,0,11,0.196433991,12,11
