POWER RANK,Member,POWER RANK VALUE,PPG,PPG Rank,Wins,Win Rank,Overall Wins,Overall Win Rank,Recent Wins,Recent Wins Rank,Consistency Rating,Consistency Rank,ROS Roster Rank
7,TATEZ,5.48,214.625,7,2,5,26,7,0,1,0.1117966545159135,12,6
3,anandg,2.85,225.75,2,2,5,29,3,0,1,0.046616977142523115,1,2
9,jeesh,7.26,207.25,8,0,11,21,8,0,1,0.09359307474678323,9,4
2,arjitj2,1.99,224.0,3,4,1,30,2,0,1,0.047595790451546056,2,5
10,madhs24,7.74,199.625,10,1,9,15,10,0,1,0.08109377368847627,6,8
4,BrotherEzekiel,3.44,221.75,5,2,5,28,4,0,1,0.07898209645157607,5,1
8,vishaalg,6.56,201.375,9,2,5,16,9,0,1,0.10944389424851056,11,9
5,vivekcalambur,4.25,223.0,4,3,3,27,6,0,1,0.09092934998329405,8,7
6,akhilalapaty787,4.3,219.5,6,3,3,28,4,0,1,0.06641175278867084,4,10
1,umangchavan,1.51,240.125,1,4,1,37,1,0,1,0.08405642470643676,7,3
11,vvpitta,9.03,176.625,11,0,11,4,11,0,1,0.05885526648631787,3,11
12,surajsinha,9.25,166.375,12,1,9,2,12,0,1,0.09479278630016842,10,12
